"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F2074","LumA","1","2","5","3","6"
"F2075","LumA","1","2","3","1","7"
"F2076","LumA","1","1","1","5","3"
"F2077","LumB","3","1","4","5","3"
"F2078","LumA","1","2","5","3","6"
"F2079","LumA","1","2","5","3","3"
"F2080","LumB","3","1","3","5","3"
"F2081","Basal","2","3","2","2","4"
"F2082","LumA","1","2","5","3","6"
"F2083","Normal","2","3","2","2","4"
"F2084","LumA","1","2","5","3","6"
"F2085","LumA","3","4","3","1","2"
"F2086","Her2","2","1","1","4","5"
"F2087","LumB","3","1","1","5","3"
"F2088","Her2","2","1","1","4","5"
"F2089","Basal","2","1","1","4","5"
"F2090","LumA","3","4","4","6","1"
"F2091","Basal","2","3","2","2","4"
"F2092","Her2","2","1","1","4","5"
"F2093","LumA","3","4","4","6","7"
"F2094","Basal","2","3","2","2","4"
"F2095","LumA","1","2","5","3","6"
"F2096","Basal","2","3","2","2","4"
"F2097","LumB","3","4","4","6","1"
"F2098","LumB","3","4","4","6","2"
"F2099","Basal","2","3","2","2","4"
"F2100","Her2","2","1","1","4","5"
"F2101","LumA","1","2","5","3","6"
"F2102","LumA","3","4","4","6","1"
"F2103","LumA","3","4","3","1","7"
"F2104","LumA","3","4","4","5","3"
"F2105","LumA","1","2","5","3","6"
"F2106","LumB","3","1","1","5","3"
"F2107","LumA","1","2","3","1","7"
"F2108","Normal","1","2","5","5","3"
"F2109","LumB","2","1","1","4","5"
"F2110","LumB","1","1","1","5","3"
"F2111","LumA","1","2","5","3","7"
"F2112","Normal","1","2","5","3","6"
"F2113","LumA","1","2","5","3","6"
"F2114","LumA","1","2","5","3","6"
"F2115","LumA","1","2","5","3","6"
"F2116","LumA","1","2","5","3","6"
"F2117","LumA","1","2","5","3","6"
"F2118","LumA","1","2","5","3","6"
"F2119","LumA","3","4","3","1","7"
"F2120","LumB","1","2","3","1","7"
"F2121","Her2","2","1","1","4","5"
"F2122","LumB","1","1","3","5","3"
"F2123","LumA","1","2","5","3","6"
